Worm	865
LoadLibraryEx,SearchPath,CreateFile	459	1173
SearchPath,CreateFile,CreateFileMapping	753	2215
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	670	670
RegisterClipboardFormat,SystemParametersInfo,GetDC	670	670
SystemParametersInfo,GetDC,GetDeviceCaps	670	670
GetDC,GetDeviceCaps,ReleaseDC	670	680
GetDeviceCaps,ReleaseDC,LocalAlloc	670	671
GetSysColor,GetSysColorBrush,GetStockObject	596	881
LoadCursor,RegisterClass,RegisterClassEx	668	668
RegisterClass,RegisterClassEx,LoadLibraryEx	606	606
RegisterClassEx,LoadLibraryEx,LoadLibrary	606	606
IsBadWritePtr,RegisterClipboardFormat,SystemParametersInfo	586	586
RegisterClipboardFormat,SystemParametersInfo,GetSystemMetrics	585	586
SystemParametersInfo,GetSystemMetrics,LocalAlloc	586	587
GetSysColorBrush,GetStockObject,LoadLibrary	538	538
GetStockObject,LoadLibrary,LoadLibraryEx	538	538
FindResourceEx,LoadResource,LoadString	616	726
lstrcpyn,SearchPath,CreateFile	496	496
LoadLibraryEx,GetSystemMetrics,RegisterClipboardFormat	488	488
lstrcmpi,GetThreadLocale,CompareString	449	885
GetModuleHandle,GetModuleHandle,GetProcAddress	478	1418

Trojan	10847
LoadLibraryEx,SearchPath,CreateFile	5576	15380
SearchPath,CreateFile,CreateFileMapping	9846	25586
CreateFile,CreateFileMapping,MapViewOfFileEx	6364	14906
GetSystemMetrics,RegisterClipboardFormat,SystemParametersInfo	8991	8999
RegisterClipboardFormat,SystemParametersInfo,GetDC	8988	8996
SystemParametersInfo,GetDC,GetDeviceCaps	8988	8996
GetDC,GetDeviceCaps,ReleaseDC	9149	9629
GetDeviceCaps,ReleaseDC,LocalAlloc	9017	9106
ReleaseDC,LocalAlloc,GetSysColor	5975	5983
LocalAlloc,GetSysColor,GetSysColorBrush	6079	11884
GetSysColor,GetSysColorBrush,GetStockObject	8713	14523
GetSysColorBrush,GetStockObject,GetSystemMetrics	5974	5982
GetStockObject,GetSystemMetrics,LoadCursor	5972	5980
GetSystemMetrics,LoadCursor,RegisterClass	5972	5980
LoadCursor,RegisterClass,RegisterClassEx	8953	8961
RegisterClass,RegisterClassEx,LoadLibraryEx	8685	8693
RegisterClassEx,LoadLibraryEx,LoadLibrary	8658	8666
GetCommandLine,GetStartupInfo,LockResource	5612	6707
GetStartupInfo,LockResource,GetModuleFileName	5630	6599
LockResource,GetModuleFileName,IsBadWritePtr	5568	5576
IsBadWritePtr,RegisterClipboardFormat,SystemParametersInfo	8293	8302
RegisterClipboardFormat,SystemParametersInfo,GetSystemMetrics	8290	8301
SystemParametersInfo,GetSystemMetrics,LocalAlloc	8530	8541
GetSystemMetrics,LocalAlloc,GetSysColor	5897	5907
FindResourceEx,LoadResource,LoadString	6625	7525
GetWindowDC,GetDeviceCaps,ReleaseDC	6181	6190
IsDebuggerPresent,LoadLibrary,GetProcessWindowStation	6241	6248
LoadLibrary,GetProcessWindowStation,GetUserObjectInformation	6249	6256
FreeLibrary,CreateFontIndirect,IsBadStringPtr	6114	6120
CreateFontIndirect,IsBadStringPtr,MapViewOfFileEx	6242	6249
CharNext,IsBadWritePtr,GetWindowDC	6315	6323
IsBadWritePtr,GetWindowDC,ReleaseDC	6319	6656
GetWindowDC,ReleaseDC,MulDiv	6294	6626
CreatePatternBrush,GetSystemMetrics,LoadLibraryEx	6272	6279
GetSystemMetrics,LoadLibraryEx,FreeLibrary	6300	10483
GetSystemDirectory,lstrlen,lstrcpyn	6300	14336
GetThreadDesktop,LocalAlloc,GetUserObjectInformation	6258	6265
CreateFileMapping,CreateFileMapping,MapViewOfFileEx	6697	7923
LoadCursor,LoadCursor,RegisterClassEx	6245	6289
LoadCursor,RegisterClassEx,CreateMutex	6235	6242
RegisterClassEx,CreateMutex,CreateMutex	6237	6244
CreateMutex,CreateMutex,GetSystemDefaultLCID	6219	6226
CreateMutex,GetSystemDefaultLCID,GetThreadLocale	5900	5907
GetSystemDefaultLCID,GetThreadLocale,CompareString	5902	5909
GetThreadLocale,CompareString,lstrcmp	5786	5847
CompareString,lstrcmp,GetSystemMetrics	5901	5908
lstrcmp,GetSystemMetrics,LocalAlloc	5891	5898
GetLocaleInfo,GetLocaleInfo,IsValidCodePage	6235	6376
CreateMutex,CreateMutex,OpenFileMapping	6072	6168
